#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 297050:5839 | 06/16/17 20:55:44 | 710  | 710  | 97.230964668   | 94.724927121  |
| 297056:5840 | 06/17/17 05:00:46 | 192  | 192  | 32.591964402   | 29.288606072  |
| 297057:5840 | 06/17/17 06:18:36 | 873  | 873  | 117.049341330  | 114.452759098 |
| 297099:5842 | 06/17/17 19:23:59 | 39   | 39   | 7.762296592    | 7.194742166   |
| 297100:5842 | 06/17/17 19:41:21 | 371  | 369  | 76.683456942   | 72.334501905  |
| 297101:5842 | 06/17/17 22:12:25 | 1085 | 1085 | 165.994010162  | 161.966021475 |
| 297113:5845 | 06/18/17 12:43:12 | 246  | 239  | 57.880080520   | 52.137598205  |
| 297114:5845 | 06/18/17 14:21:04 | 155  | 155  | 33.937490827   | 32.863186359  |
| 297175:5848 | 06/19/17 19:04:40 | 85   | 76   | 19.072698789   | 15.880451081  |
| 297176:5848 | 06/19/17 19:42:18 | 200  | 196  | 42.484578181   | 39.921738085  |
| 297177:5848 | 06/19/17 21:04:30 | 162  | 158  | 32.266096203   | 30.311822586  |
| 297178:5848 | 06/19/17 22:09:07 | 1347 | 1340 | 199.083047073  | 194.468063586 |
| 297179:5848 | 06/20/17 07:09:38 | 92   | 88   | 10.187425858   | 9.401683395   |
| 297215:5849 | 06/20/17 13:53:03 | 47   | 47   | 13.026156118   | 12.287170328  |
| 297218:5849 | 06/20/17 14:14:26 | 27   | 24   | 7.266782878    | 3.701263178   |
| 297219:5849 | 06/20/17 14:26:07 | 2608 | 2607 | 434.636720702  | 421.745795404 |
| 297224:5849 | 06/21/17 07:56:03 | 125  | 125  | 11.823265290   | 11.615493281  |
| 297225:5849 | 06/21/17 08:49:06 | 32   | 25   | 2.943522903    | 2.194205949   |
| 297227:5849 | 06/21/17 09:04:44 | 184  | 184  | 15.814927684   | 15.669415559  |
| 297292:5856 | 06/22/17 02:42:29 | 738  | 735  | 182.227163034  | 171.490117510 |
| 297293:5856 | 06/22/17 07:41:33 | 145  | 139  | 29.838262213   | 27.186603591  |
| 297296:5856 | 06/22/17 08:47:07 | 484  | 479  | 88.504208604   | 84.206759798  |
| 297308:5856 | 06/22/17 12:06:46 | 44   | 44   | 6.548255964    | 6.297792183   |
| 297359:5862 | 06/23/17 03:26:00 | 49   | 49   | 14.430823227   | 13.794586943  |
| 297411:5864 | 06/23/17 13:35:24 | 911  | 911  | 210.605395610  | 201.578373748 |
| 297424:5865 | 06/24/17 00:42:30 | 118  | 117  | 34.421303467   | 31.269800334  |
| 297425:5865 | 06/24/17 01:29:38 | 153  | 149  | 43.727242074   | 41.145061051  |
| 297426:5865 | 06/24/17 02:30:35 | 101  | 100  | 27.149793472   | 24.960652984  |
| 297429:5865 | 06/24/17 03:24:57 | 72   | 72   | 18.312501209   | 17.366166390  |
| 297430:5865 | 06/24/17 04:03:47 | 199  | 199  | 48.207441719   | 46.126811780  |
| 297431:5865 | 06/24/17 05:23:08 | 177  | 174  | 39.698111496   | 37.653039230  |
| 297432:5865 | 06/24/17 06:36:23 | 112  | 112  | 23.809413136   | 23.084376788  |
| 297433:5865 | 06/24/17 07:41:47 | 159  | 153  | 31.799923897   | 29.638958688  |
| 297434:5865 | 06/24/17 08:43:17 | 161  | 156  | 30.295415280   | 28.677731701  |
| 297435:5865 | 06/24/17 09:45:40 | 94   | 94   | 17.018092687   | 16.643700539  |
| 297467:5868 | 06/24/17 19:48:19 | 89   | 89   | 30.126764319   | 27.888356975  |
| 297468:5868 | 06/24/17 20:28:56 | 74   | 74   | 24.093418105   | 23.129902106  |
| 297469:5868 | 06/24/17 21:02:04 | 66   | 66   | 20.647863940   | 18.840735671  |
| 297483:5872 | 06/25/17 05:36:28 | 172  | 171  | 51.476653674   | 47.680580397  |
| 297484:5872 | 06/25/17 06:47:17 | 204  | 204  | 58.113515980   | 55.238020684  |
| 297485:5872 | 06/25/17 08:17:19 | 402  | 397  | 100.495203428  | 95.712302482  |
| 297486:5872 | 06/25/17 11:05:54 | 617  | 615  | 126.438536434  | 122.425327074 |
| 297487:5872 | 06/25/17 15:14:37 | 600  | 595  | 98.229493120   | 95.190698976  |
| 297488:5872 | 06/25/17 19:17:09 | 418  | 418  | 56.312738598   | 55.201475701  |
| 297503:5873 | 06/26/17 02:02:26 | 748  | 745  | 191.446749482  | 183.465358117 |
| 297504:5873 | 06/26/17 07:10:25 | 53   | 52   | 11.426358850   | 10.723747924  |
| 297505:5873 | 06/26/17 08:06:28 | 394  | 394  | 76.296058949   | 74.256537871  |
| 297557:5876 | 06/26/17 23:20:35 | 334  | 334  | 99.951800151   | 93.802629004  |
| 297558:5876 | 06/27/17 01:56:22 | 258  | 255  | 68.404483976   | 64.909735286  |
| 297562:5876 | 06/27/17 05:58:50 | 319  | 318  | 64.025559630   | 61.496356053  |
| 297563:5876 | 06/27/17 08:23:20 | 259  | 259  | 46.709527342   | 45.288722833  |
| 297598:5878 | 06/27/17 14:59:43 | 13   | 6    | 4.094701698    | 1.177114777   |
